2.1,TS_011,Validate the working of Home Page functionality,TC_HP_001
,,,TC_HP_002
,,,TC_HP_003
,,,TC_HP_004
,,,TC_HP_005
,,,TC_HP_006
,,,TC_HP_007
,,,TC_HP_008
,,,TC_HP_009
,,,TC_HP_010
2.2,TS_012,Validate the working of Checkout functionality,TC_CO_001
,,,TC_CO_002
,,,TC_CO_003
,,,TC_CO_004
,,,TC_CO_005
,,,TC_CO_006
,,,TC_CO_007
,,,TC_CO_008
,,,TC_CO_009
,,,TC_CO_010
,,,TC_CO_011
,,,TC_CO_012
,,,TC_CO_013
,,,TC_CO_014
,,,TC_CO_015
,,,TC_CO_016
,,,TC_CO_017
,,,TC_CO_018
,,,TC_CO_019
,,,TC_CO_020
2.3,TS_013,Validate the My Account functionality,TC_MA_001
,,,TC_MA_002
,,,TC_MA_003
,,,TC_MA_004
,,,TC_MA_005
,,,TC_MA_006
,,,TC_MA_007
,,,TC_MA_008
,,,TC_MA_009
2.4,TS_014,Validate the working of My Account > Account Information functionality,TC_MAI_001
,,,TC_MAI_002
,,,TC_MAI_003
,,,TC_MAI_004
,,,TC_MAI_005
,,,TC_MAI_006
,,,TC_MAI_007
,,,TC_MAI_008
,,,TC_MAI_009
,,,TC_MAI_010
,,,TC_MAI_011
,,,TC_MAI_012
,,,TC_MAI_013
2.5,TS_015,Validate the working of My Account > Change Password ,TC_CP_001
,,,TC_CP_002
,,,TC_CP_003
,,,TC_CP_004
,,,TC_CP_005
,,,TC_CP_006
,,,TC_CP_007
,,,TC_CP_008
,,,TC_CP_009
,,,TC_CP_010
,,,TC_CP_011
,,,TC_CP_012
,,,TC_CP_013
2.6,TS_016,"Validate the working of My Account > 
'Address Book' functionality",TC_AB_001
,,,TC_AB_002
,,,TC_AB_003
,,,TC_AB_004
,,,TC_AB_005
,,,TC_AB_006
,,,TC_AB_007
,,,TC_AB_008
,,,TC_AB_009
,,,TC_AB_010
,,,TC_AB_011
,,,TC_AB_012
,,,TC_AB_013
,,,TC_AB_014
,,,TC_AB_015
,,,TC_AB_016
,,,TC_AB_017
,,,TC_AB_018
,,,TC_AB_019
,,,TC_AB_020
,,,TC_AB_021
2.7,TS_017,"Validate the working of My Orders > 
'Order History' functionality",TC_OH_001
,,,TC_OH_002
,,,TC_OH_003
,,,TC_OH_004
,,,TC_OH_005
,,,TC_OH_006
,,,TC_OH_007
,,,TC_OH_008
,,,TC_OH_009
,,,TC_OH_010
,,,TC_OH_011
,,,TC_OH_012
2.8,TS_018,Validate the working of My Orders > 'Product Returns' functionality,TC_PR_001
,,,TC_PR_002
,,,TC_PR_003
,,,TC_PR_004
,,,TC_PR_005
,,,TC_PR_006
,,,TC_PR_007
,,,TC_PR_008
,,,TC_PR_009
,,,TC_PR_010
,,,TC_PR_011
2.9,TS_019,"Validate the working of My Orders > 
'Your Transactions' functionality",TC_TS_001
,,,TC_TS_002
,,,TC_TS_003
,,,TC_TS_004
,,,TC_TS_005
,,,TC_TS_006
,,,TC_TS_007
,,,TC_TS_008
,,,TC_TS_009
,,,TC_TS_010
,,,TC_TS_011
3,TS_020,Validate the working of 'Contact Us' page functionality,TC_CU_001
,,,TC_CU_002
,,,TC_CU_003
,,,TC_CU_004
,,,TC_CU_005
,,,TC_CU_006
,,,TC_CU_007
,,,TC_CU_008
,,,TC_CU_009
,,,TC_CU_010
,,,TC_CU_011
,,,TC_CU_012
,,,TC_CU_013
